"Observation.ID","Observation.Date","Dolphin.ID"
5692,"1997-08-08","AMO"
5698,"1997-08-09","AMO"
5733,"1997-08-13","AMO"
5747,"1997-08-15","AMO"
6102,"1998-01-08","AMO"
6222,"1998-04-18","AMO"
6237,"1998-05-02","AMO"
6245,"1998-05-04","AMO"
6656,"1998-07-18","AMO"
6822,"1998-07-25","AMO"
6955,"1998-08-08","AMO"
7125,"1998-09-09","AMO"
7147,"1998-09-26","AMO"
7158,"1998-09-28","AMO"
7177,"1998-10-12","AMO"
7187,"1998-10-13","AMO"
7193,"1998-10-14","AMO"
7213,"1998-10-27","AMO"
7578,"1999-06-07","AMO"
7769,"1999-06-24","AMO"
8195,"1999-09-08","AMO"
8206,"1999-09-09","AMO"
8345,"1999-10-04","AMO"
8439,"1999-11-01","AMO"
8519,"2000-05-21","AMO"
9354,"2001-06-28","AMO"
9632,"2001-07-20","AMO"
9812,"2001-08-08","AMO"
10307,"2001-11-10","AMO"
10891,"2002-07-22","AMO"
11175,"2002-08-14","AMO"
11361,"2002-08-30","AMO"
11692,"2002-11-14","AMO"
12422,"2003-07-06","AMO"
12523,"2003-07-19","AMO"
12922,"2003-09-27","AMO"
12951,"2003-10-01","AMO"
13082,"2003-10-12","AMO"
13095,"2003-10-21","AMO"
13113,"2003-10-26","AMO"
14247,"2004-09-18","AMO"
14359,"2004-10-04","AMO"
14402,"2004-10-05","AMO"
14553,"2004-10-24","AMO"
15148,"2005-08-10","AMO"
15190,"2005-08-21","AMO"
15234,"2005-08-27","AMO"
15266,"2005-09-07","AMO"
15281,"2005-09-08","AMO"
15679,"2006-07-07","AMO"
15771,"2006-07-19","AMO"
16058,"2006-08-29","AMO"
16181,"2006-10-19","AMO"
16191,"2006-10-21","AMO"
16459,"2007-07-26","AMO"
17224,"2009-10-10","AMO"
17311,"2009-11-04","AMO"
17614,"2010-07-29","AMO"
18077,"2011-09-29","AMO"
18113,"2011-10-21","AMO"
18152,"2011-11-05","AMO"
18396,"2012-07-09","AMO"
18513,"2012-08-17","AMO"
18567,"2012-09-14","AMO"
18733,"2013-05-23","AMO"
19136,"2013-09-12","AMO"
19201,"2013-10-06","AMO"
19242,"2013-10-14","AMO"
19316,"2013-10-24","AMO"
19464,"2013-11-15","AMO"
19487,"2013-11-18","AMO"
19554,"2013-11-23","AMO"
19614,"2013-11-30","AMO"
20344,"2015-04-27","AMO"
20572,"2015-06-10","AMO"
21247,"2015-09-11","AMO"
21279,"2015-09-18","AMO"
8091,"1999-08-22","AMP"
13092,"2003-10-21","AMP"
14360,"2004-10-04","AMP"
14387,"2004-10-05","AMP"
14499,"2004-10-19","AMP"
14532,"2004-10-23","AMP"
14551,"2004-10-24","AMP"
14687,"2004-11-16","AMP"
15762,"2006-07-19","AMP"
16231,"2006-11-09","AMP"
16888,"2009-06-12","AMP"
17176,"2009-09-15","AMP"
17254,"2009-10-18","AMP"
17302,"2009-11-04","AMP"
17678,"2010-09-23","AMP"
17749,"2010-10-19","AMP"
18985,"2013-07-24","AMP"
19146,"2013-09-16","AMP"
19381,"2013-11-08","AMP"
19525,"2013-11-22","AMP"
19544,"2013-11-23","AMP"
19845,"2014-07-15","AMP"
19978,"2014-09-25","AMP"
20175,"2014-11-10","AMP"
20191,"2014-11-18","AMP"
20215,"2014-11-20","AMP"
20245,"2014-12-19","AMP"
20288,"2014-12-27","AMP"
21120,"2015-08-28","AMP"
21247,"2015-09-11","AMP"
21309,"2015-09-29","AMP"
21361,"2015-10-12","AMP"
21378,"2015-10-14","AMP"
21433,"2015-10-30","AMP"
21455,"2015-11-28","AMP"
22087,"2017-05-17","AMP"
22099,"2017-05-18","AMP"
22163,"2017-05-31","AMP"
22236,"2017-06-14","AMP"
22435,"2017-09-26","AMP"
22464,"2017-10-06","AMP"
22686,"2017-11-27","AMP"
22738,"2018-06-03","AMP"
25253,"2018-09-21","AMP"
25781,"2019-09-24","AMP"
25978,"2019-10-09","AMP"
26277,"2019-11-10","AMP"
26317,"2019-11-23","AMP"
26614,"2022-04-21","AMP"
26739,"2022-05-25","AMP"
