"Age.ID","Combined.ID","Dolphin.ID","Sightings","entrydate","departdate","genotyped","Repro.ID","AgeCat","AgeSightings","tot.strength","age.strength","norm.age","avg.tot.age.str","norm.age.indiv","ReproCat"
"LIT.juvenile","LIT.juvenile.juvenile","LIT",154,1991-11-01,2024-11-30,"Y","LIT.juvenile","juvenile",59,0.546662962233787,0.427648086331284,0.782288385852625,1.09904370699948,0.389109262541353,"juvenile"
"LOO.juvenile","LOO.juvenile.juvenile","LOO",29,2014-11-01,2024-11-30,"Y","LOO.juvenile","juvenile",25,2.04191089766034,1.73652438348098,0.850440822599421,1.73652438348098,1,"juvenile"
"LYR.juvenile","LYR.juvenile.juvenile","LYR",22,2011-11-01,2024-11-30,"Y","LYR.juvenile","juvenile",16,1.06590808863273,0.517893050859993,0.4858702700383,0.517893050859993,1,"juvenile"
"MOU.elder","MOU.preg.elder","MOU",450,1995-09-29,2024-11-30,"Y","MOU.preg","elder",43,1.17828107804113,1.21961434120141,1.03507928959446,0.959355414667123,1.2712852010374,"preg"
"MOU.juvenile","MOU.juvenile.juvenile","MOU",450,1995-09-29,2024-11-30,"Y","MOU.juvenile","juvenile",168,0.670964463301957,0.457614980622668,0.682025659556765,0.959355414667123,0.477002551532428,"juvenile"
"MYS.juvenile","MYS.juvenile.juvenile","MYS",66,2003-01-01,2024-11-30,"Y","MYS.juvenile","juvenile",15,0.959713966509955,0.572664726749306,0.596703545778153,0.956652390929074,0.5986131767184,"juvenile"
"NET.juvenile","NET.juvenile.juvenile","NET",39,2013-12-01,2024-11-30,"Y","NET.juvenile","juvenile",17,1.19557932034712,0.695292672367914,0.581552943025182,0.68734121513336,1.01156842781938,"juvenile"
"NIC.elder","NIC.preg.elder","NIC",711,1979-12-29,2015-07-06,"Y","NIC.preg","elder",140,0.319832259507569,0.804118216646677,2.51418733646425,0.81066422685728,0.991925127575964,"preg"
"NIC.juvenile","NIC.juvenile.juvenile","NIC",711,1979-12-29,2015-07-06,"Y","NIC.juvenile","juvenile",31,0.449190572494968,0.369789693475768,0.823235651233331,0.81066422685728,0.45615642238136,"juvenile"
"NOE.juvenile","NOE.juvenile.juvenile","NOE",143,2012-08-27,2024-11-30,"Y","NOE.juvenile","juvenile",83,2.07096411749395,1.57575075711081,0.760877865434776,1.38941248872368,1.13411299372896,"juvenile"
