"Repro.ID","Dolphin.ID","Combined.ID","Sightings","entrydate","departdate","genotyped","Age.ID","repro.strength","ReproCat","norm_repro","avg.tot.repro.str","norm.repro.indiv"
"DCH.cyc","DCH","DCH.cyc.adult",64,2015-02-15,2024-11-30,"Y","DCH.adult",0.310383075056988,"cyc","1.04613381103438",0.906763193050889,0.342297831931924
"DCH.juvenile","DCH","DCH.juvenile.juvenile",64,2015-02-15,2024-11-30,"Y","DCH.juvenile",2.09314248210525,"juvenile","3.037633889345",0.906763193050889,2.30836727620436
"DCH.preg","DCH","DCH.preg.adult",64,2015-02-15,2024-11-30,"Y","DCH.adult",0.565561274612999,"preg","1.23784860503864",0.906763193050889,0.623714415127631
"DCH.unknown","DCH","DCH.unknown.adult",64,2015-02-15,2024-11-30,"Y","DCH.adult",0.657965940428321,"unknown","",0.906763193050889,0.725620476736085
"DCK.juvenile","DCK","DCK.juvenile.juvenile",16,2021-11-24,2024-11-30,"Y","DCK.juvenile",0.818257500394266,"juvenile","1.1874808975777",0.818257500394266,1
"DEM.cyc","DEM","DEM.cyc.adult",342,1990-11-01,2024-11-30,"Y","DEM.adult",0,"cyc","0",0.00685552665436035,0
"DEM.cyc","DEM","DEM.cyc.elder",342,1990-11-01,2024-11-30,"Y","DEM.elder",0,"cyc","0",0.00685552665436035,0
"DEM.juvenile","DEM","DEM.juvenile.juvenile",342,1990-11-01,2024-11-30,"Y","DEM.juvenile",0.0548442132348828,"juvenile","0.0795916389739428",0.00685552665436035,8
"DEM.lact","DEM","DEM.lact.adult",342,1990-11-01,2024-11-30,"Y","DEM.adult",0,"lact","0",0.00685552665436035,0
"DEM.preg","DEM","DEM.preg.adult",342,1990-11-01,2024-11-30,"Y","DEM.adult",0,"preg","0",0.00685552665436035,0
"DEM.preg","DEM","DEM.preg.elder",342,1990-11-01,2024-11-30,"Y","DEM.elder",0,"preg","0",0.00685552665436035,0
"DEM.unknown","DEM","DEM.unknown.adult",342,1990-11-01,2024-11-30,"Y","DEM.adult",0,"unknown","",0.00685552665436035,0
"DEM.unknown","DEM","DEM.unknown.elder",342,1990-11-01,2024-11-30,"Y","DEM.elder",0,"unknown","",0.00685552665436035,0
"DJY.juvenile","DJY","DJY.juvenile.juvenile",19,2012-11-01,2024-11-30,"Y","DJY.juvenile",2.82787567291178,"juvenile","4.1039016943803",2.45096091499653,1.1537824432895
"DJY.unknown","DJY","DJY.unknown.adult",19,2012-11-01,2024-11-30,"Y","DJY.adult",2.07404615708129,"unknown","",2.45096091499653,0.846217556710497
"DMK.lact","DMK","DMK.lact.adult",26,1995-11-01,2024-11-30,"Y","DMK.adult",0,"lact","0",0.318051772754157,0
"DMK.unknown","DMK","DMK.unknown.adult",26,1995-11-01,2024-11-30,"Y","DMK.adult",0.636103545508314,"unknown","",0.318051772754157,2
"DNZ.unknown","DNZ","DNZ.unknown.adult",15,1997-11-01,2024-11-30,"Y","DNZ.adult",0.26506082821452,"unknown","",0.26506082821452,1
"DOD.cyc","DOD","DOD.cyc.adult",209,2003-10-15,2024-11-30,"Y","DOD.adult",0.239392921729048,"cyc","0.806864322408954",0.40601894129213,0.589610230909904
"DOD.juvenile","DOD","DOD.juvenile.juvenile",209,2003-10-15,2024-11-30,"Y","DOD.juvenile",0.141386490063211,"juvenile","0.205184500043965",0.40601894129213,0.348226340409777
