Pair,ID1,ID2,IDPair,DyadML
400,KRI,SRY,KRI.SRY,0.0196
401,KRI,AMO,KRI.AMO,0.0194
402,KRI,ATH,KRI.ATH,0.0195
403,KRI,CSK,KRI.CSK,0
404,KRI,GEG,KRI.GEG,0.0476
405,KRI,IBX,KRI.IBX,0.0022
406,KRI,MGC,KRI.MGC,0
407,KRI,SEQ,KRI.SEQ,0
408,KRI,RAS,KRI.RAS,0
409,KRI,MYR,KRI.MYR,0.0264
410,KRI,GRV,KRI.GRV,0
411,KRI,SME,KRI.SME,0
412,KRI,WNG,KRI.WNG,0
413,KRI,RAG,KRI.RAG,0
414,KRI,OWL,KRI.OWL,0
415,KRI,TRN,KRI.TRN,0.0047
416,KRI,MLO,KRI.MLO,0
417,KRI,DAG,KRI.DAG,0
418,KRI,ZAM,KRI.ZAM,0
419,KRI,BUD,KRI.BUD,0.027
420,KRI,BLI,KRI.BLI,0
421,KRI,COI,KRI.COI,0
422,KRI,GHL,KRI.GHL,0.0061
423,KRI,TUF,KRI.TUF,0
424,KRI,WHL,KRI.WHL,0
425,KRI,REG,KRI.REG,0
426,KRI,BLK,KRI.BLK,0.0064
427,KRI,JAS,KRI.JAS,0
428,KRI,TAF,KRI.TAF,0.0238
429,KRI,RSH,KRI.RSH,0.0045
430,KRI,OPY,KRI.OPY,0.0024
431,KRI,GRG,KRI.GRG,0
432,KRI,SAU,KRI.SAU,0.0081
433,KRI,BYT,KRI.BYT,0.013
434,KRI,BGS,KRI.BGS,0
435,KRI,TOU,KRI.TOU,0.0113
436,KRI,DEE,KRI.DEE,0.0364
437,KRI,UNK1418,KRI.UNK1418,0
438,KRI,CHR,KRI.CHR,0
439,KRI,MK_2015_CHW_58,KRI.MK_2015_CHW_58,0.002
440,KRI,HEL,KRI.HEL,0
441,KRI,RDG,KRI.RDG,0.0325
442,KRI,TNA,KRI.TNA,0.0001
443,KRI,UNK1450,KRI.UNK1450,0.0075
444,KRI,DJY,KRI.DJY,0.0328
445,KRI,WTY,KRI.WTY,0.0083
446,KRI,FRG,KRI.FRG,0
447,KRI,BAD,KRI.BAD,0.0484
448,KRI,CLO,KRI.CLO,0
449,KRI,JPI,KRI.JPI,0.022
450,KRI,PZZ,KRI.PZZ,0.0366
451,KRI,ALT,KRI.ALT,0.0091
452,KRI,JAL,KRI.JAL,0
453,KRI,STV,KRI.STV,0.0019
454,KRI,LYR,KRI.LYR,0.0091
455,KRI,CF2017_1AF_stranded,KRI.CF2017_1AF_stranded,0.0195
456,KRI,BRP,KRI.BRP,0.0266
457,KRI,BMT,KRI.BMT,0
458,KRI,ZMB,KRI.ZMB,0
459,KRI,SDG,KRI.SDG,0
460,KRI,PHO1,KRI.PHO1,0
461,KRI,ABA,KRI.ABA,0
462,KRI,KYD1,KRI.KYD1,0
463,KRI,TAM,KRI.TAM,0
464,KRI,PHX,KRI.PHX,0
465,KRI,CER,KRI.CER,0
466,KRI,WAM,KRI.WAM,0.0048
467,KRI,SUM,KRI.SUM,0
468,KRI,LRR,KRI.LRR,0
469,KRI,TOF,KRI.TOF,0
470,KRI,CHT,KRI.CHT,0
471,KRI,ALU,KRI.ALU,0
472,KRI,PON,KRI.PON,0.0067
473,KRI,UNK1419,KRI.UNK1419,0.0358
474,KRI,CVO,KRI.CVO,0
475,KRI,STI,KRI.STI,0.0164
476,KRI,BUT,KRI.BUT,0
477,KRI,BWS,KRI.BWS,0
478,KRI,DER,KRI.DER,0
479,KRI,UNK1502,KRI.UNK1502,0
480,KRI,BZD,KRI.BZD,0
481,KRI,ING,KRI.ING,0
482,KRI,UNK1532,KRI.UNK1532,0.0039
483,KRI,RKS,KRI.RKS,0.0182
484,KRI,UNK1208,KRI.UNK1208,0.0247
485,KRI,SKC,KRI.SKC,0.0165
486,KRI,BLJ,KRI.BLJ,0
487,KRI,GIG,KRI.GIG,0
488,KRI,SBI,KRI.SBI,0
489,KRI,DOY,KRI.DOY,0.0072
490,KRI,PSI,KRI.PSI,0.0004
491,KRI,FTA,KRI.FTA,0
492,KRI,LLA,KRI.LLA,0.0038
493,KRI,OMA,KRI.OMA,0.0445
494,KRI,ASY,KRI.ASY,0.0208
495,KRI,KUD,KRI.KUD,0
496,KRI,ARP,KRI.ARP,0.011
497,KRI,JGL,KRI.JGL,0
498,KRI,KOA,KRI.KOA,0
499,KRI,GLO,KRI.GLO,0.0105
500,KRI,SOP,KRI.SOP,0.0047
501,KRI,LIF,KRI.LIF,0
502,KRI,TUX,KRI.TUX,0
503,KRI,UNK1520,KRI.UNK1520,0
504,KRI,UNK1521,KRI.UNK1521,0
505,KRI,SEM,KRI.SEM,0.0039
506,KRI,MLV,KRI.MLV,0
507,KRI,WHK,KRI.WHK,0
508,KRI,PNN,KRI.PNN,0
509,KRI,WDN,KRI.WDN,0
510,KRI,UNK1496,KRI.UNK1496,0.0086
511,PTS,VRG,PTS.VRG,0
